1,肖申克的救赎,1233151,9.6,希望让人自由。
2,霸王别姬,908012,9.6,风华绝代。
3,这个杀手不太冷,1134301,9.4,怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传,972230,9.4,一部美国近现代史。
5,美丽人生,568062,9.5,最美的谎言。
6,泰坦尼克号,908413,9.3,失去的才是永恒的。
7,千与千寻,901257,9.3,最好的宫崎骏，最好的久石让。
8,辛德勒的名单,510278,9.5,拯救一个人，就是拯救整个世界。
9,盗梦空间,987485,9.3,诺兰给了我们一场无法盗取的梦。
10,机器人总动员,655010,9.3,小瓦力，大人生。
11,忠犬八公的故事,641332,9.3,永远都不能忘记你所爱的人。
12,三傻大闹宝莱坞,884328,9.2,英俊版憨豆，高情商版谢耳朵。
13,海上钢琴师,736817,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
14,放牛班的春天,608618,9.2,天籁一般的童声，是最接近上帝的存在。
15,大话西游之大圣娶亲,675250,9.2,一生所爱。
16,楚门的世界,654808,9.2,如果再也不能见到你，祝你早安，午安，晚安。
17,星际穿越,668888,9.2,爱是一种力量，让我们超越时空感知它的存在。
18,教父,447476,9.2,千万不要记恨你的对手，这样会让你失去理智。
19,龙猫,574967,9.1,人人心中都有个龙猫，童年就永远不会消失。
20,熔炉,381397,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,无间道,554254,9.1,香港电影史上永不过时的杰作。
22,当幸福来敲门,715119,9.0,平民励志片。
23,触不可及,474549,9.2,满满温情的高雅喜剧。
24,怦然心动,771760,9.0,真正的幸福是来自内心深处。
25,疯狂动物城,736825,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
26,乱世佳人,338666,9.2,Tomorrow is another day.
27,蝙蝠侠：黑暗骑士,444785,9.1,无尽的黑暗。
28,活着,367275,9.2,张艺谋最好的电影。
29,天堂电影院,370939,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
30,少年派的奇幻漂流,730858,9.0,瑰丽壮观、无人能及的冒险之旅。
31,十二怒汉,217973,9.4,1957年的理想主义。
32,鬼子来了,303434,9.2,对敌人的仁慈，就是对自己残忍。
33,指环王3：王者无敌,363260,9.1,史诗的终章。
34,控方证人,148873,9.6,比利·怀德满分作品。
35,天空之城,423495,9.0,对天空的追逐，永不停止。
36,搏击俱乐部,478093,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
37,飞屋环游记,645434,8.9,最后那些最无聊的事情，才是最值得怀念的。
38,大话西游之月光宝盒,543751,8.9,旷古烁今。
39,罗马假日,488011,9.0,爱情哪怕只有一天。
40,摔跤吧！爸爸,660967,9.1,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
41,窃听风暴,289424,9.1,别样人生。
42,哈尔的移动城堡,460445,8.9,带着心爱的人在天空飞翔。
43,辩护人,287184,9.2,电影的现实意义大过电影本身。
44,闻香识女人,414509,9.0,史上最美的探戈。
45,两杆大烟枪,327263,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
46,飞越疯人院,331684,9.0,自由万岁。
47,死亡诗社,355152,9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
48,V字仇杀队,537767,8.8,一张面具背后的理想与革命。
49,海豚湾,218163,9.3,海豚的微笑，是世界上最高明的伪装。
50,教父2,242009,9.1,优雅的孤独。
51,指环王2：双塔奇兵,340656,9.0,承前启后的史诗篇章。
52,指环王1：魔戒再现,381406,8.9,传说的开始。
53,美丽心灵,378486,8.9,爱是一切逻辑和原由。
54,饮食男女,262254,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
55,情书,468715,8.8,暗恋的极致。
56,素媛,248807,9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
57,狮子王,359988,8.9,动物版《哈姆雷特》。
58,钢琴家,249818,9.1,音乐能化解仇恨。
59,末代皇帝,254874,9.1,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
60,美国往事,214961,9.1,往事如烟，无处祭奠。
61,小鞋子,181205,9.2,奔跑的孩子是天使。
62,七宗罪,521283,8.8,警察抓小偷，老鼠玩死猫。
63,被嫌弃的松子的一生,376226,8.9,以戏谑来戏谑戏谑。
64,本杰明·巴顿奇事,486198,8.8,在时间之河里感受溺水之苦。
65,致命魔术,426339,8.8,孪生蝙蝠侠大战克隆金刚狼。
66,西西里的美丽传说,453620,8.8,美丽无罪。
67,黑客帝国,358593,8.9,视觉革命。
68,让子弹飞,793681,8.7,你给我翻译翻译，神马叫做TMD的惊喜。
69,拯救大兵瑞恩,306617,8.9,美利坚精神输出大片No1.
70,看不见的客人,484972,8.7,你以为你以为的就是你以为的。
71,天使爱美丽,579032,8.7,法式小清新。
72,音乐之声,285663,8.9,用音乐化解仇恨，让歌声串起美好。
73,低俗小说,418204,8.8,故事的高级讲法。
74,勇敢的心,347241,8.8,史诗大片的典范。
75,大闹天宫,140753,9.3,经典之作，历久弥新。
76,剪刀手爱德华,589517,8.7,浪漫忧郁的成人童话。
77,沉默的羔羊,426396,8.8,安东尼·霍普金斯的顶级表演。
78,哈利·波特与魔法石,361880,8.8,童话世界的开端。
79,蝴蝶效应,468786,8.7,人的命运被自己瞬间的抉择改变。
